"Name","Lap1","Lap2","Lap3","Lap4","Lap5","Lap6","Lap7","Lap8"
"LARS TOMA","6:26:00","6:16:00","6:28:00","6:31:00","6:36:00","6:35:00","6:42:00","6:48:00"
"ROLAND SIEGBERT","6:28:00","6:27:00","6:28:00","6:26:00","6:35:00","6:47:00","6:40:00","6:38:00"
"LUUK NISSEN","6:25:00","6:22:00","6:35:00","6:42:00","6:42:00","6:45:00","6:48:00","6:44:00"
"MIKE VERHOEVEN","6:29:00","6:40:00","6:49:00","6:45:00","6:45:00","6:43:00","6:44:00","6:35:00"
"CHRISTIAN MIESSEN","6:26:00","6:28:00","6:40:00","6:47:00","6:48:00","6:47:00","6:48:00","6:57:00"
"BENJAMIN SYDLIK","6:59:00","6:27:00","6:39:00","6:50:00","6:47:00","6:45:00","6:44:00","6:48:00"
"JULIAN HELLMANN","7:07:00","6:39:00","6:35:00","6:47:00","6:49:00","6:40:00","6:44:00","6:41:00"
"KAJ VERHAEGH","6:29:00","6:40:00","6:43:00","6:59:00","7:00:00","7:07:00","7:09:00","7:20:00"
"MARC VAN DER WIELEN","6:57:00","7:02:00","7:00:00","7:04:00","7:12:00","7:06:00","7:19:00","7:18:00"
"GUNTER REITZ","7:00:00","6:59:00","7:04:00","7:26:00","7:16:00","7:21:00","7:11:00","7:04:00"
"DYLAN DRENT","6:37:00","6:32:00","6:54:00","7:36:00","7:36:00","7:20:00","7:35:00","7:14:00"
"ROBERT SYDLIK","7:07:00","6:57:00","7:11:00","7:06:00","7:16:00","7:21:00","7:10:00","7:15:00"
"MARKUS HABERMANN","6:59:00","7:04:00","7:06:00","7:11:00","7:17:00","7:22:00","7:26:00","7:24:00"
"THOMAS RADERMACHER","7:13:00","6:58:00","7:10:00","7:14:00","7:17:00","7:21:00","7:28:00","7:26:00"
"BRIAN RUTJENS","6:58:00","7:01:00","7:10:00","7:10:00","7:31:00","7:30:00","7:34:00","7:34:00"
"LUUK VAN HELDEN","6:57:00","6:43:00","7:35:00","7:52:00","7:47:00","7:18:00","7:37:00","7:24:00"
"ALEXANDER BUNN","7:02:00","7:00:00","7:28:00","7:36:00","6:34:00","8:44:00","7:36:00","7:42:00"
"BJORN VAN DE KUIT","7:07:00","7:18:00","7:33:00","7:40:00","7:31:00","7:44:00","8:04:00",
"RICK VAN DEURSEN","7:01:00","7:46:00","8:15:00","7:24:00","7:51:00","8:23:00","8:06:00",
"JAN-NIKLAS JUNGER","7:58:00","7:56:00","7:41:00","7:43:00","7:25:00","8:12:00","8:08:00",
"RICK DAM","7:06:00","8:09:00","8:07:00","7:56:00","7:55:00","8:14:00","8:30:00",
"THORSTEN KNIERIM","8:09:00","8:19:00","8:24:00","8:30:00","8:27:00","8:44:00","8:46:00",
"BENJAMIN HELZLE","7:12:00","7:44:00","9:06:00",,,,,
"EDWIN RAATS","6:29:00","6:32:00","6:30:00","6:29:00","6:33:00","6:38:00",,
"LEON CRIENEN","6:57:00","6:29:00","6:39:00","6:39:00","6:45:00","6:37:00",,
"FRANCIS PENDERS","6:57:00","6:41:00","7:01:00","7:03:00","7:03:00","6:51:00",,
"PASCAL ALLELEIJN","6:55:00","7:01:00","6:52:00","6:54:00","7:04:00","6:52:00",,
"RENE KUHLMANN","6:58:00","6:54:00","7:08:00","7:14:00","7:20:00","7:28:00",,
"STEFAN VERHEIJEN","7:07:00","7:14:00","7:19:00","7:15:00","7:24:00","7:13:00",,
"MARTIN NEFFGEN","7:07:00","7:14:00","7:20:00","7:22:00","7:27:00","7:23:00",,
"FRANCIS VOS","7:13:00","7:11:00","7:18:00","7:29:00","7:21:00","7:28:00",,
"TWAN BALTUSSEN","7:35:00","7:23:00","7:13:00","7:32:00","7:25:00","7:26:00",,
"DANIEL PASMANS","7:29:00","7:26:00","7:21:00","7:29:00","7:28:00","7:28:00",,
"LORANT JESCHINA","7:28:00","7:24:00","7:20:00","7:36:00","7:33:00","7:37:00",,
"PAUL LANING","7:19:00","7:39:00","7:24:00","7:50:00","7:37:00","7:21:00",,
"ETIENNE KORFF","7:22:00","7:29:00","7:36:00","7:43:00","7:36:00","7:33:00",,
"ROLAND VAN ERP","7:55:00","7:31:00","7:37:00","7:28:00","7:50:00","7:33:00",,
"MARK KLERKX","7:33:00","7:36:00","7:41:00","7:46:00","7:45:00","7:41:00",,
"BERT TOMA","7:28:00","7:40:00","7:49:00","7:54:00","7:55:00","8:08:00",,
"GIANNI SCHIM","8:09:00","7:48:00","8:05:00","8:02:00","8:15:00",,,
"BERND BRUCKER","8:22:00","8:03:00","8:09:00","8:16:00","8:22:00",,,
"SAMUEL GRAVEZ","8:00:00","8:18:00","8:34:00","8:20:00","8:08:00",,,
"ENRICO KLUGE","8:12:00","8:15:00","8:23:00","8:20:00","8:28:00",,,
"MICHAEL KALISCH","8:25:00","8:25:00","8:14:00","8:41:00","8:33:00",,,
"RONALD VERSTEEGEN","8:24:00","8:30:00","9:03:00","9:05:00","9:08:00",,,
"RON VAN DE WEIJER","8:34:00","8:30:00","9:19:00","9:35:00","9:13:00",,,
"ROB VERHULST","9:37:00","11:26:00","11:22:00","11:00:00",,,,
"FRIEDHELM SCHMITZ","11:38:00","12:25:00","12:06:00","12:41:00",,,,
"ERIC DOUVEN","8:23:00","8:27:00","8:54:00","10:08:00","20:26:00",,,
"EDUARD MEERBURG","9:39:00","10:39:00","6:09:00",,,,,
"EDDY WILLEMSEN","8:37:00",,,,,,,
"STEFAN TISCHLER",,,,,,,,
